Season,Competition,Matchday,Venue,Club,Opponent,Playing_Position,Minute,Minute,Type,Goal_assist
11-Dec,LaLiga,37,H,FC Barcelona,RCD Espanyol Barcelona,CF,63,63,Penalty,
11-Dec,LaLiga,37,H,FC Barcelona,RCD Espanyol Barcelona,CF,73,73,Left-footed shot,Adriano
11-Dec,LaLiga,37,H,FC Barcelona,RCD Espanyol Barcelona,CF,78,78,Penalty,
11-Dec,Copa del Rey,Final,H,FC Barcelona,Athletic Bilbao,CF,20,20,Right-footed shot,Andres Iniesta
13-Dec,LaLiga,1,H,FC Barcelona,Real Sociedad,CF,10,10,Left-footed shot,Pedro
13-Dec,LaLiga,1,H,FC Barcelona,Real Sociedad,CF,15,15,Left-footed shot,Cristian Tello
13-Dec,Supercopa,final,H,FC Barcelona,Real Madrid,CF,60,60,Penalty,
13-Dec,LaLiga,2,A,FC Barcelona,CA Osasuna,CF,74,74,Left-footed shot,Alexis Sanchez
13-Dec,LaLiga,2,A,FC Barcelona,CA Osasuna,CF,79,79,Left-footed shot,Jordi Alba
13-Dec,Supercopa,final,A,FC Barcelona,Real Madrid,CF,45,45,Direct free kick,
13-Dec,LaLiga,4,A,FC Barcelona,Getafe CF,CF,74,74,Penalty,
13-Dec,LaLiga,4,A,FC Barcelona,Getafe CF,CF,78,78,Left-footed shot,Pedro
13-Dec,UEFA Champions League,Group Stage,H,FC Barcelona,Spartak Moscow,CF,71,71,Left-footed shot,Cristian Tello
13-Dec,UEFA Champions League,Group Stage,H,FC Barcelona,Spartak Moscow,CF,80,80,Header,Alexis Sanchez
13-Dec,LaLiga,7,H,FC Barcelona,Real Madrid,CF,31,31,Left-footed shot,
13-Dec,LaLiga,7,H,FC Barcelona,Real Madrid,CF,60,60,Direct free kick,
13-Dec,LaLiga,8,A,FC Barcelona,Deportivo de La Coruaa,CF,17,17,Left-footed shot,Cesc Fabregas
13-Dec,LaLiga,8,A,FC Barcelona,Deportivo de La Coruaa,CF,43,43,Left-footed shot,Cesc Fabregas
13-Dec,LaLiga,8,A,FC Barcelona,Deportivo de La Coruaa,CF,76,76,Left-footed shot,Xavi
13-Dec,LaLiga,9,A,FC Barcelona,Rayo Vallecano,CF,48,48,Left-footed shot,Marta Montoya
13-Dec,LaLiga,9,A,FC Barcelona,Rayo Vallecano,CF,89,89,Right-footed shot,Cesc Fabregas
13-Dec,UEFA Champions League,Group Stage,A,FC Barcelona,Celtic FC,CF,90+1,90+1,Tap-in,
13-Dec,LaLiga,11,A,FC Barcelona,RCD Mallorca,CF,43,43,Left-footed shot,Sergio Busquets
13-Dec,LaLiga,11,A,FC Barcelona,RCD Mallorca,CF,70,70,Left-footed shot,Alexis Sanchez
13-Dec,LaLiga,12,H,FC Barcelona,Real Zaragoza,CF,15,15,Left-footed shot,Jordi Alba
13-Dec,LaLiga,12,H,FC Barcelona,Real Zaragoza,CF,60,60,Left-footed shot,Marta Montoya
13-Dec,UEFA Champions League,Group Stage,A,FC Barcelona,Spartak Moscow,CF,27,27,Right-footed shot,
13-Dec,UEFA Champions League,Group Stage,A,FC Barcelona,Spartak Moscow,CF,39,39,Left-footed shot,Pedro
13-Dec,LaLiga,13,A,FC Barcelona,Levante UD,CF,46,46,Left-footed shot,Andres Iniesta
13-Dec,LaLiga,13,A,FC Barcelona,Levante UD,CF,51,51,Left-footed shot,Andres Iniesta
13-Dec,LaLiga,14,H,FC Barcelona,Athletic Bilbao,CF,24,24,Left-footed shot,Xavi
13-Dec,LaLiga,14,H,FC Barcelona,Athletic Bilbao,CF,69,69,Right-footed shot,Pedro
13-Dec,LaLiga,15,A,FC Barcelona,Real Betis Balompie,CF,16,16,Left-footed shot,Andres Iniesta
13-Dec,LaLiga,15,A,FC Barcelona,Real Betis Balompie,CF,25,25,Left-footed shot,Andres Iniesta
13-Dec,Copa del Rey,last 16,A,FC Barcelona,CÃ³rdoba CF,CF,10,10,Left-footed shot,David Villa
13-Dec,Copa del Rey,last 16,A,FC Barcelona,CÃ³rdoba CF,CF,73,73,Left-footed shot,Alexis Sanchez
13-Dec,LaLiga,16,H,FC Barcelona,Atletico de Madrid,CF,58,58,Left-footed shot,Alexis Sanchez
13-Dec,LaLiga,16,H,FC Barcelona,Atletico de Madrid,CF,88,88,Left-footed shot,
13-Dec,LaLiga,17,A,FC Barcelona,Real Valladolid CF,CF,59,59,Left-footed shot,Xavi
13-Dec,LaLiga,18,H,FC Barcelona,RCD Espanyol Barcelona,CF,28,28,Penalty,
13-Dec,LaLiga,19,A,FC Barcelona,Malaga CF,CF,26,26,Right-footed shot,
13-Dec,Copa del Rey,Quarter-Finals,H,FC Barcelona,Malaga CF,CF,29,29,Left-footed shot,
13-Dec,LaLiga,20,A,FC Barcelona,Real Sociedad,CF,6,6,Left-footed shot,Andres Iniesta
13-Dec,Copa del Rey,Quarter-Finals,A,FC Barcelona,Malaga CF,CF,79,79,Header,Dani Alves
13-Dec,LaLiga,21,H,FC Barcelona,CA Osasuna,CF,11,11,Right-footed shot,Xavi
13-Dec,LaLiga,21,H,FC Barcelona,CA Osasuna,CF,28,28,Penalty,
13-Dec,LaLiga,21,H,FC Barcelona,CA Osasuna,CF,56,56,Left-footed shot,David Villa
13-Dec,LaLiga,21,H,FC Barcelona,CA Osasuna,CF,58,58,Left-footed shot,Adriano
13-Dec,LaLiga,22,A,FC Barcelona,Valencia CF,CF,39,39,Penalty,
13-Dec,LaLiga,23,H,FC Barcelona,Getafe CF,CF,13,13,Left-footed shot,Thiago
13-Dec,LaLiga,24,A,FC Barcelona,Granada CF,CF,49,49,Left-footed shot,
13-Dec,LaLiga,24,A,FC Barcelona,Granada CF,CF,72,72,Direct free kick,
13-Dec,LaLiga,25,H,FC Barcelona,Sevilla FC,CF,60,60,Left-footed shot,Cristian Tello
13-Dec,LaLiga,26,A,FC Barcelona,Real Madrid,CF,18,18,Left-footed shot,Dani Alves
13-Dec,LaLiga,27,H,FC Barcelona,Deportivo de La Coruaa,CF,88,88,Left-footed shot,Alexis Sanchez
13-Dec,UEFA Champions League,last 16,H,FC Barcelona,AC Milan,CF,5,5,Left-footed shot,Xavi
13-Dec,UEFA Champions League,last 16,H,FC Barcelona,AC Milan,CF,40,40,Left-footed shot,Andres Iniesta
13-Dec,LaLiga,28,H,FC Barcelona,Rayo Vallecano,CF,40,40,Left-footed shot,David Villa
13-Dec,LaLiga,28,H,FC Barcelona,Rayo Vallecano,CF,57,57,Left-footed shot,David Villa
13-Dec,LaLiga,29,A,FC Barcelona,Celta de Vigo,CF ,73,73,Left-footed shot,Cristian Tello
13-Dec,UEFA Champions League,Quarter-Finals,A,FC Barcelona,Paris Saint-Germain,CF,38,38,Left-footed shot,Dani Alves
13-Dec,LaLiga,33,A,FC Barcelona,Athletic Bilbao,CF,67,67,Left-footed shot,Thiago
13-Dec,LaLiga,34,H,FC Barcelona,Real Betis Balompie,CF,60,60,Direct free kick,
13-Dec,LaLiga,34,H,FC Barcelona,Real Betis Balompie,CF,71,71,Left-footed shot,Alexis Sanchez
13/14,LaLiga,1,H,FC Barcelona,Levante UD,CF,13,13,Left-footed shot,Pedro
13/14,LaLiga,1,H,FC Barcelona,Levante UD,CF,42,42,Penalty,
13/14,LaLiga,3,A,FC Barcelona,Valencia CF,CF,11,11,Left-footed shot,Cesc Fabregas
13/14,LaLiga,3,A,FC Barcelona,Valencia CF,CF,39,39,Right-footed shot,Cesc Fabregas
13/14,LaLiga,3,A,FC Barcelona,Valencia CF,CF,41,41,Left-footed shot,Neymar
13/14,LaLiga,4,H,FC Barcelona,Sevilla FC,CF,75,75,Left-footed shot,Neymar
13/14,UEFA Champions League,Group Stage,H,FC Barcelona,Ajax Amsterdam,CF,22,22,Direct free kick,
13/14,UEFA Champions League,Group Stage,H,FC Barcelona,Ajax Amsterdam,CF,55,55,Left-footed shot,Sergio Busquets
13/14,UEFA Champions League,Group Stage,H,FC Barcelona,Ajax Amsterdam,CF,75,75,Left-footed shot,Xavi
13/14,LaLiga,6,H,FC Barcelona,Real Sociedad,CF,8,8,Header,Neymar
13/14,LaLiga,7,A,FC Barcelona,UD Almera,CF,21,21,Left-footed shot,Pedro
13/14,UEFA Champions League,Group Stage,A,FC Barcelona,AC Milan,CF,23,23,Left-footed shot,Andres Iniesta
13/14,UEFA Champions League,Group Stage,H,FC Barcelona,AC Milan,CF,30,30,Penalty,
13/14,UEFA Champions League,Group Stage,H,FC Barcelona,AC Milan,CF,83,83,Left-footed shot,Cesc Fabregas
13/14,Copa del Rey,last 16,H,FC Barcelona,Getafe CF,CF,90,90,Left-footed shot,Marta Montoya
13/14,Copa del Rey,last 16,H,FC Barcelona,Getafe CF,CF,90+2,90+2,Left-footed shot,Alex Song
13/14,Copa del Rey,last 16,A,FC Barcelona,Getafe CF,CF,43,43,Right-footed shot,Cristian Tello
13/14,Copa del Rey,last 16,A,FC Barcelona,Getafe CF,CF,63,63,Left-footed shot,
13/14,LaLiga,22,H,FC Barcelona,Valencia CF,CF,54,54,Penalty,
13/14,LaLiga,23,A,FC Barcelona,Sevilla FC,CF,44,44,Left-footed shot,Pedro
13/14,LaLiga,23,A,FC Barcelona,Sevilla FC,CF,56,56,Left-footed shot,Andres Iniesta
13/14,Copa del Rey,Semi-Finals,A,FC Barcelona,Real Sociedad,CF,26,26,Solo run,
13/14,LaLiga,24,H,FC Barcelona,Rayo Vallecano,CF,36,36,Left-footed shot,Cesc Fabregas
13/14,LaLiga,24,H,FC Barcelona,Rayo Vallecano,CF,68,68,Left-footed shot,Alexis Sanchez
13/14,UEFA Champions League,last 16,A,FC Barcelona,Manchester City,CF,54,54,Penalty,
13/14,LaLiga,25,A,FC Barcelona,Real Sociedad,CF,36,36,Left-footed shot,Marta Montoya
13/14,LaLiga,26,H,FC Barcelona,UD Almera,CF,24,24,Direct free kick,
13/14,UEFA Champions League,last 16,H,FC Barcelona,Manchester City,CF,67,67,Left-footed shot,
13/14,LaLiga,28,H,FC Barcelona,CA Osasuna,CF,18,18,Left-footed shot,Alexis Sanchez
13/14,LaLiga,28,H,FC Barcelona,CA Osasuna,CF,63,63,Left-footed shot,Andres Iniesta
13/14,LaLiga,28,H,FC Barcelona,CA Osasuna,CF,88,88,Right-footed shot,Dani Alves
13/14,LaLiga,29,A,FC Barcelona,Real Madrid,CF,42,42,Left-footed shot,Neymar
13/14,LaLiga,29,A,FC Barcelona,Real Madrid,CF,65,65,Penalty,
13/14,LaLiga,29,A,FC Barcelona,Real Madrid,CF,84,84,Penalty,
13/14,LaLiga,30,H,FC Barcelona,Celta de Vigo,CF,30,30,Right-footed shot,Andres Iniesta
13/14,LaLiga,31,A,FC Barcelona,RCD Espanyol Barcelona,CF,77,77,Penalty,
13/14,LaLiga,32,H,FC Barcelona,Real Betis Balompie,CF,15,15,Penalty,
13/14,LaLiga,32,H,FC Barcelona,Real Betis Balompie,CF,86,86,Penalty rebound,Antonio A05a
13/14,LaLiga,34,H,FC Barcelona,Athletic Bilbao,CF,74,74,Direct free kick,
13/14,LaLiga,35,A,FC Barcelona,Villarreal CF,CF,83,83,Right-footed shot,Cesc Fabregas
13/14,LaLiga,36,H,FC Barcelona,Getafe CF,CF,23,23,Left-footed shot,Dani Alves
14/15,LaLiga,1,H,FC Barcelona,Elche CF,CF,42,42,Left-footed shot,Sergio Busquets
14/15,LaLiga,1,H,FC Barcelona,Elche CF,CF,64,64,Left-footed shot,
14/15,LaLiga,4,A,FC Barcelona,Levante UD,CF,77,77,Right-footed shot,
14/15,LaLiga,6,H,FC Barcelona,Granada CF,CF,62,62,Header,Dani Alves
14/15,LaLiga,6,H,FC Barcelona,Granada CF,CF,82,82,Right-footed shot,
14/15,UEFA Champions League,Group Stage,A,FC Barcelona,Paris Saint-Germain,RW,12,12,Left-footed shot,Andres Iniesta
14/15,LaLiga,7,A,FC Barcelona,Rayo Vallecano,CF,35,35,Left-footed shot,Gerard Pique
14/15,LaLiga,8,H,FC Barcelona,SD Eibar,CF,74,74,Left-footed shot,Neymar
14/15,UEFA Champions League,Group Stage,H,FC Barcelona,Ajax Amsterdam,CF,24,24,Left-footed shot,Andres Iniesta
14/15,UEFA Champions League,Group Stage,A,FC Barcelona,Ajax Amsterdam,RW,36,36,Header,Marc Bartra
14/15,UEFA Champions League,Group Stage,A,FC Barcelona,Ajax Amsterdam,RW,76,76,Left-footed shot,Pedro
14/15,LaLiga,12,H,FC Barcelona,Sevilla FC,RW,21,21,Direct free kick,
14/15,LaLiga,12,H,FC Barcelona,Sevilla FC,RW,73,73,Tap-in,Neymar
14/15,LaLiga,12,H,FC Barcelona,Sevilla FC,RW,78,78,Left-footed shot,Neymar
14/15,UEFA Champions League,Group Stage,A,FC Barcelona,APOEL Nicosia,CF ,38,38,Right-footed shot,Rafinha
14/15,UEFA Champions League,Group Stage,A,FC Barcelona,APOEL Nicosia,CF ,58,58,Right-footed shot,Dani Alves
14/15,UEFA Champions League,Group Stage,A,FC Barcelona,APOEL Nicosia,CF ,87,87,Right-footed shot,Pedro
14/15,LaLiga,14,H,FC Barcelona,RCD Espanyol Barcelona,RW,45+1,45+1,Left-footed shot,Xavi
14/15,LaLiga,14,H,FC Barcelona,RCD Espanyol Barcelona,RW,50,50,Right-footed shot,Luis Suarez
14/15,LaLiga,14,H,FC Barcelona,RCD Espanyol Barcelona,RW,81,81,Right-footed shot,Pedro
14/15,UEFA Champions League,Group Stage,H,FC Barcelona,Paris Saint-Germain,AM,19,19,Right-footed shot,Luis Suarez
14/15,LaLiga,16,H,FC Barcelona,CÃ³rdoba CF,RW,82,82,Right-footed shot,
14/15,LaLiga,16,H,FC Barcelona,CÃ³rdoba CF,RW,90,90,Right-footed shot,
14/15,Copa del Rey,last 16,H,FC Barcelona,Elche CF,RW ,45,45,Penalty,
14/15,LaLiga,18,H,FC Barcelona,Atletico de Madrid,RW,87,87,Left-footed shot,
14/15,LaLiga,19,A,FC Barcelona,Deportivo de La Coruaa,RW,11,11,Header,Ivan Rakitic
14/15,LaLiga,19,A,FC Barcelona,Deportivo de La Coruaa,RW,33,33,Left-footed shot,Luis Suarez
14/15,LaLiga,19,A,FC Barcelona,Deportivo de La Coruaa,RW,62,62,Left-footed shot,Ivan Rakitic
14/15,Copa del Rey,Quarter-Finals,H,FC Barcelona,Atletico de Madrid,RW ,85,85,Penalty rebound,
14/15,LaLiga,20,A,FC Barcelona,Elche CF,CF,55,55,Penalty,
14/15,LaLiga,20,A,FC Barcelona,Elche CF,CF,88,88,Left-footed shot,Marc Bartra
14/15,LaLiga,21,H,FC Barcelona,Villarreal CF,RW,55,55,Right-footed shot,Luis Suarez
14/15,LaLiga,22,A,FC Barcelona,Athletic Bilbao,RW,15,15,Direct free kick,
14/15,Copa del Rey,Semi-Finals,H,FC Barcelona,Villarreal CF,RW,41,41,Left-footed shot,Luis Suarez
14/15,LaLiga,23,H,FC Barcelona,Levante UD,CF,38,38,Right-footed shot,Marc Bartra
14/15,LaLiga,23,H,FC Barcelona,Levante UD,CF,59,59,Right-footed shot,Pedro
14/15,LaLiga,23,H,FC Barcelona,Levante UD,CF,65,65,Penalty,
14/15,LaLiga,25,A,FC Barcelona,Granada CF,RW,70,70,Right-footed shot,Luis Suarez
14/15,LaLiga,26,H,FC Barcelona,Rayo Vallecano,RW,56,56,Penalty,
14/15,LaLiga,26,H,FC Barcelona,Rayo Vallecano,RW,63,63,Tap-in,
14/15,LaLiga,26,H,FC Barcelona,Rayo Vallecano,RW,68,68,Left-footed shot,Pedro
14/15,LaLiga,27,A,FC Barcelona,SD Eibar,RW ,31,31,Penalty,
14/15,LaLiga,27,A,FC Barcelona,SD Eibar,RW ,55,55,Header,Ivan Rakitic
14/15,LaLiga,30,H,FC Barcelona,UD Almera,RW,33,33,Left-footed shot,Marc Bartra
14/15,LaLiga,31,A,FC Barcelona,Sevilla FC,RW,15,15,Left-footed shot,Neymar
14/15,LaLiga,32,H,FC Barcelona,Valencia CF,RW,90+4,90+4,Left-footed shot,
14/15,LaLiga,33,A,FC Barcelona,RCD Espanyol Barcelona,RW,25,25,Left-footed shot,Luis Suarez
14/15,LaLiga,34,H,FC Barcelona,Getafe CF,RW,9,9,Penalty,
14/15,LaLiga,34,H,FC Barcelona,Getafe CF,RW,47,47,Left-footed shot,Luis Suarez
14/15,LaLiga,35,A,FC Barcelona,CÃ³rdoba CF,RW,47,47,Header,Dani Alves
14/15,LaLiga,35,A,FC Barcelona,CÃ³rdoba CF,RW,80,80,Left-footed shot,Luis Suarez
14/15,UEFA Champions League,Semi-Finals,H,FC Barcelona,Bayern Munich,RW,77,77,Left-footed shot,Dani Alves
14/15,UEFA Champions League,Semi-Finals,H,FC Barcelona,Bayern Munich,RW,80,80,Right-footed shot,Ivan Rakitic
14/15,LaLiga,37,A,FC Barcelona,Atletico de Madrid,RW,65,65,Left-footed shot,Pedro
14/15,LaLiga,38,H,FC Barcelona,Deportivo de La Coruaa,RW,5,5,Header,Rafinha
14/15,LaLiga,38,H,FC Barcelona,Deportivo de La Coruaa,RW,59,59,Right-footed shot,Neymar
14/15,Copa del Rey,Final,A,FC Barcelona,Athletic Bilbao,RW,20,20,Solo run,
14/15,Copa del Rey,Final,A,FC Barcelona,Athletic Bilbao,RW,74,74,Left-footed shot,Dani Alves
15/16,UEFA Super Cup,Final,H,FC Barcelona,Sevilla FC,RW,7,7,Direct free kick,
15/16,UEFA Super Cup,Final,H,FC Barcelona,Sevilla FC,RW,16,16,Direct free kick,
15/16,Supercopa,final,H,FC Barcelona,Athletic Bilbao,RW,43,43,Left-footed shot,Luis Suarez
15/16,LaLiga,3,A,FC Barcelona,Atletico de Madrid,RW,77,77,Left-footed shot,Luis Suarez
15/16,LaLiga,4,H,FC Barcelona,Levante UD,AM ,61,61,Penalty,
15/16,LaLiga,4,H,FC Barcelona,Levante UD,AM ,90,90,Left-footed shot,Marc Bartra
15/16,UEFA Champions League,Group Stage,H,FC Barcelona,AS Roma,RW ,18,18,Left-footed shot,Luis Suarez
15/16,UEFA Champions League,Group Stage,H,FC Barcelona,AS Roma,RW ,60,60,Tap-in,
15/16,LaLiga,13,H,FC Barcelona,Real Sociedad,RW,90+1,90+1,Left-footed shot,Neymar
15/16,UEFA Champions League,Group Stage,A,FC Barcelona,Bayer 04 Leverkusen,CF ,20,20,Right-footed shot,Ivan Rakitic
15/16,LaLiga,15,H,FC Barcelona,Deportivo de La Coruaa,RW,39,39,Direct free kick,
15/16,FIFA Club World Cup,Final,A,FC Barcelona,CA River Plate,RW,36,36,Left-footed shot,Neymar
15/16,LaLiga,17,H,FC Barcelona,Real Betis Balompie,RW ,33,33,Right-footed shot,Neymar
15/16,Copa del Rey,last 16,H,FC Barcelona,RCD Espanyol Barcelona,RW,13,13,Left-footed shot,Andres Iniesta
15/16,Copa del Rey,last 16,H,FC Barcelona,RCD Espanyol Barcelona,RW,44,44,Direct free kick,
15/16,LaLiga,19,H,FC Barcelona,Granada CF,RW ,8,8,Left-footed shot,Arda Turan
15/16,LaLiga,19,H,FC Barcelona,Granada CF,RW ,14,14,Left-footed shot,Luis Suarez
15/16,LaLiga,19,H,FC Barcelona,Granada CF,RW ,58,58,Tap-in,
15/16,LaLiga,20,H,FC Barcelona,Athletic Bilbao,RW,7,7,Penalty,
15/16,LaLiga,21,A,FC Barcelona,Malaga CF,RW,51,51,Left-footed shot,Adriano
15/16,LaLiga,22,H,FC Barcelona,Atletico de Madrid,RW,30,30,Left-footed shot,Jordi Alba
15/16,Copa del Rey,Semi-Finals,H,FC Barcelona,Valencia CF,RW,29,29,Left-footed shot,Neymar
15/16,Copa del Rey,Semi-Finals,H,FC Barcelona,Valencia CF,RW,59,59,Left-footed shot,Luis Suarez
15/16,Copa del Rey,Semi-Finals,H,FC Barcelona,Valencia CF,RW,74,74,Left-footed shot,
15/16,LaLiga,24,H,FC Barcelona,Celta de Vigo,RW,28,28,Direct free kick,
15/16,LaLiga,16,A,FC Barcelona,Sporting GijÃ³n,RW ,25,25,Left-footed shot,Luis Suarez
15/16,LaLiga,16,A,FC Barcelona,Sporting GijÃ³n,RW ,31,31,Left-footed shot,Luis Suarez
15/16,UEFA Champions League,last 16,A,FC Barcelona,Arsenal FC,RW,71,71,Left-footed shot,Neymar
15/16,UEFA Champions League,last 16,A,FC Barcelona,Arsenal FC,RW,83,83,Penalty,
15/16,LaLiga,26,H,FC Barcelona,Sevilla FC,RW ,31,31,Direct free kick,
15/16,LaLiga,27,A,FC Barcelona,Rayo Vallecano,RW,23,23,Left-footed shot,Neymar
15/16,LaLiga,27,A,FC Barcelona,Rayo Vallecano,RW,53,53,Left-footed shot,
15/16,LaLiga,27,A,FC Barcelona,Rayo Vallecano,RW,72,72,Left-footed shot,Sergio Busquets
15/16,LaLiga,28,A,FC Barcelona,SD Eibar,RW ,42,42,Left-footed shot,Munir El Haddadi
15/16,LaLiga,28,A,FC Barcelona,SD Eibar,RW ,76,76,Penalty,
15/16,LaLiga,29,H,FC Barcelona,Getafe CF,CF,41,41,Left-footed shot,Arda Turan
15/16,UEFA Champions League,last 16,H,FC Barcelona,Arsenal FC,RW,86,86,Left-footed shot,Neymar
15/16,LaLiga,33,H,FC Barcelona,Valencia CF,RW,63,63,Left-footed shot,Jordi Alba
15/16,LaLiga,34,A,FC Barcelona,Deportivo de La Coruaa,RW,73,73,Left-footed shot,Luis Suarez
15/16,LaLiga,35,H,FC Barcelona,Sporting GijÃ³n,RW,13,13,Header,
15/16,LaLiga,37,H,FC Barcelona,RCD Espanyol Barcelona,RW,8,8,Direct free kick,
16/17,Supercopa,final,H,FC Barcelona,Sevilla FC,RW ,55,55,Header,Lucas Digne
16/17,LaLiga,1,H,FC Barcelona,Real Betis Balompie,RW ,37,37,Left-footed shot,Sergi Roberto
16/17,LaLiga,1,H,FC Barcelona,Real Betis Balompie,RW ,58,58,Left-footed shot,Arda Turan
16/17,UEFA Champions League,Group Stage,H,FC Barcelona,Celtic FC,RW ,3,3,Left-footed shot,Neymar
16/17,UEFA Champions League,Group Stage,H,FC Barcelona,Celtic FC,RW ,27,27,Left-footed shot,Neymar
16/17,UEFA Champions League,Group Stage,H,FC Barcelona,Celtic FC,RW ,60,60,Left-footed shot,Luis Suarez
16/17,LaLiga,4,A,FC Barcelona,CD Leganes,RW,15,15,Left-footed shot,Luis Suarez
16/17,LaLiga,4,A,FC Barcelona,CD Leganes,RW,55,55,Penalty,
16/17,LaLiga,8,H,FC Barcelona,Deportivo de La Coruaa,RW,58,58,Left-footed shot,Neymar
16/17,UEFA Champions League,Group Stage,H,FC Barcelona,Manchester City,RW,17,17,Left-footed shot,Andres Iniesta
16/17,UEFA Champions League,Group Stage,H,FC Barcelona,Manchester City,RW,61,61,Left-footed shot,Andres Iniesta
16/17,UEFA Champions League,Group Stage,H,FC Barcelona,Manchester City,RW,69,69,Left-footed shot,Luis Suarez
16/17,LaLiga,9,A,FC Barcelona,Valencia CF,RW,22,22,Left-footed shot,Ivan Rakitic
16/17,LaLiga,9,A,FC Barcelona,Valencia CF,RW,90+4,90+4,Penalty,
16/17,UEFA Champions League,Group Stage,A,FC Barcelona,Manchester City,RW ,21,21,Left-footed shot,Neymar
16/17,LaLiga,11,A,FC Barcelona,Sevilla FC,RW ,43,43,Left-footed shot,Neymar
16/17,UEFA Champions League,Group Stage,A,FC Barcelona,Celtic FC,RW ,24,24,Left-footed shot,Neymar
16/17,UEFA Champions League,Group Stage,A,FC Barcelona,Celtic FC,RW ,55,55,Penalty,
16/17,LaLiga,13,A,FC Barcelona,Real Sociedad,RW ,59,59,Left-footed shot,Neymar
16/17,UEFA Champions League,Group Stage,H,FC Barcelona,Borussia MÃ¶nchengladbach,RW,16,16,Left-footed shot,Arda Turan
16/17,LaLiga,15,A,FC Barcelona,CA Osasuna,RW,72,72,Left-footed shot,Jordi Alba
16/17,LaLiga,15,A,FC Barcelona,CA Osasuna,RW,90+2,90+2,Left-footed shot,Sergio Busquets
16/17,LaLiga,16,H,FC Barcelona,RCD Espanyol Barcelona,RW,90,90,Left-footed shot,Luis Suarez
16/17,Copa del Rey,last 16,A,FC Barcelona,Athletic Bilbao,RW,52,52,Direct free kick,
16/17,LaLiga,17,A,FC Barcelona,Villarreal CF,RW,90,90,Direct free kick,
16/17,Copa del Rey,last 16,H,FC Barcelona,Athletic Bilbao,RW,78,78,Direct free kick,
16/17,LaLiga,18,H,FC Barcelona,UD Las Palmas,RW ,52,52,Right-footed shot,
16/17,LaLiga,19,A,FC Barcelona,SD Eibar,RW ,50,50,Left-footed shot,Luis Suarez
16/17,Copa del Rey,Quarter-Finals,H,FC Barcelona,Real Sociedad,RW ,55,55,Penalty,
16/17,Copa del Rey,Semi-Finals,A,FC Barcelona,Atletico de Madrid,RW ,33,33,Left-footed shot,Ivan Rakitic
16/17,LaLiga,21,H,FC Barcelona,Athletic Bilbao,RW ,40,40,Direct free kick,
16/17,LaLiga,22,A,FC Barcelona,Deportivo Alaves,RW ,59,59,Left-footed shot,Neymar
16/17,LaLiga,23,H,FC Barcelona,CD Leganes,RW,4,4,Right-footed shot,Luis Suarez
16/17,LaLiga,23,H,FC Barcelona,CD Leganes,RW,90,90,Penalty,
16/17,LaLiga,24,A,FC Barcelona,Atletico de Madrid,RW,86,86,Left-footed shot,
16/17,LaLiga,25,H,FC Barcelona,Sporting GijÃ³n,RW ,9,9,Header,Javier Mascherano
16/17,LaLiga,26,H,FC Barcelona,Celta de Vigo,AM ,24,24,Left-footed shot,Sergio Busquets
16/17,LaLiga,26,H,FC Barcelona,Celta de Vigo,AM ,64,64,Left-footed shot,
16/17,UEFA Champions League,last 16,H,FC Barcelona,Paris Saint-Germain,AM,50,50,Penalty,
16/17,LaLiga,28,H,FC Barcelona,Valencia CF,AM,45,45,Penalty,
16/17,LaLiga,28,H,FC Barcelona,Valencia CF,AM,53,53,Right-footed shot,Javier Mascherano
16/17,LaLiga,30,H,FC Barcelona,Sevilla FC,RW,28,28,Right-footed shot,Luis Suarez
16/17,LaLiga,30,H,FC Barcelona,Sevilla FC,RW,33,33,Left-footed shot,
16/17,LaLiga,32,H,FC Barcelona,Real Sociedad,RW ,17,17,Left-footed shot,Luis Suarez
16/17,LaLiga,32,H,FC Barcelona,Real Sociedad,RW ,37,37,Tap-in,
16/17,LaLiga,33,A,FC Barcelona,Real Madrid,RW,33,33,Left-footed shot,Ivan Rakitic
16/17,LaLiga,33,A,FC Barcelona,Real Madrid,RW,90+2,90+2,Left-footed shot,Jordi Alba
16/17,LaLiga,34,H,FC Barcelona,CA Osasuna,AM ,12,12,Left-footed shot,
16/17,LaLiga,34,H,FC Barcelona,CA Osasuna,AM ,61,61,Left-footed shot,Ivan Rakitic
16/17,LaLiga,36,H,FC Barcelona,Villarreal CF,RW,45,45,Left-footed shot,Sergio Busquets
16/17,LaLiga,36,H,FC Barcelona,Villarreal CF,RW,82,82,Penalty,
16/17,LaLiga,38,H,FC Barcelona,SD Eibar,RW,75,75,Penalty,
16/17,LaLiga,38,H,FC Barcelona,SD Eibar,RW,90+2,90+2,Right-footed shot,
16/17,Copa del Rey,Final,H,FC Barcelona,Deportivo Alaves,RW,30,30,Left-footed shot,Neymar
17/18,Supercopa,final,H,FC Barcelona,Real Madrid,RW,77,77,Penalty,
17/18,LaLiga,2,A,FC Barcelona,Deportivo Alaves,CF,55,55,Left-footed shot,Jordi Alba
17/18,LaLiga,2,A,FC Barcelona,Deportivo Alaves,CF,66,66,Left-footed shot,Paco Alcacer
17/18,LaLiga,3,H,FC Barcelona,RCD Espanyol Barcelona,CF,26,26,Left-footed shot,Ivan Rakitic
17/18,LaLiga,3,H,FC Barcelona,RCD Espanyol Barcelona,CF,35,35,Right-footed shot,Jordi Alba
